Time (msec),Longitude,Latitude,Altagl,Battery Capacity (%)
0,-157.8098477,21.3067119,0,95
100,-157.8098477,21.3067119,0,95
100,-157.8098477,21.3067119,0,95
200,-157.8098477,21.3067119,0,95
200,-157.8098477,21.3067119,0,95
200,-157.8098477,21.3067119,0,95
300,-157.8098477,21.3067119,0,95
300,-157.8098477,21.3067119,0,95
300,-157.8098477,21.3067119,0,95
400,-157.8098478,21.3067119,0,95
400,-157.8098478,21.3067119,0,95
400,-157.8098478,21.3067119,0,95
500,-157.8098478,21.3067119,0,95
500,-157.8098478,21.3067119,0,95
500,-157.8098479,21.3067119,0,95
600,-157.8098479,21.3067119,0,95
600,-157.8098479,21.3067119,0,95
600,-157.8098479,21.3067119,0,95
700,-157.8098479,21.3067119,0,95
700,-157.8098479,21.30671191,0,95
700,-157.8098479,21.30671191,0,95
800,-157.8098479,21.3067119,0,95
800,-157.8098479,21.3067119,0,95
900,-157.8098479,21.3067119,0,95
900,-157.8098479,21.3067119,0,95
900,-157.8098479,21.3067119,0,95
1000,-157.809848,21.3067119,0,95
1000,-157.809848,21.3067119,0,95
1000,-157.809848,21.30671191,0,95
1100,-157.809848,21.30671191,0,95
1100,-157.809848,21.30671189,0,95
1100,-157.8098481,21.30671189,0,95
1200,-157.8098481,21.30671189,0,95
1200,-157.8098481,21.30671189,0,95
1200,-157.8098481,21.30671189,0,95
1300,-157.8098481,21.3067119,0,95
1300,-157.8098481,21.3067119,0,95
1300,-157.8098482,21.3067118,0,95
1400,-157.8098482,21.3067118,0,95
1400,-157.8098482,21.30671179,0,95
1400,-157.8098482,21.30671179,0,95
1500,-157.8098482,21.30671179,0,95
1500,-157.8098482,21.30671179,0,95
1600,-157.8098484,21.30671179,0,95
1600,-157.8098484,21.30671179,0,95
1600,-157.8098484,21.30671179,0,95
1700,-157.8098484,21.30671179,0,95
1700,-157.8098484,21.30671179,0,95
1700,-157.8098484,21.30671179,0,95
1800,-157.8098484,21.30671179,0,95
1800,-157.8098484,21.30671179,0,95
1800,-157.8098484,21.3067118,0,95
1900,-157.8098484,21.3067118,0,95
1900,-157.8098484,21.3067118,0,95
1900,-157.8098485,21.3067118,0,95
2000,-157.8098485,21.3067118,0,95
2000,-157.8098485,21.30671179,0,95
2000,-157.8098485,21.3067118,0,95
2100,-157.8098485,21.3067118,0,95
2100,-157.8098485,21.30671179,0,95
2100,-157.8098486,21.30671179,0,95
2200,-157.8098486,21.3067118,0,95
2200,-157.8098486,21.3067118,0,95
2300,-157.8098486,21.3067118,0,95
2300,-157.8098486,21.3067118,0,95
2300,-157.8098486,21.30671179,0,95
2400,-157.8098487,21.30671189,0,95
2400,-157.8098487,21.30671189,0,95
2400,-157.8098487,21.30671189,0,95
2500,-157.8098487,21.30671189,0,95
2500,-157.8098487,21.30671189,0,95
2500,-157.8098488,21.30671199,0,95
2600,-157.8098488,21.30671199,0,95
2600,-157.8098488,21.30671199,0,95
2600,-157.8098488,21.306712,0,95
2700,-157.8098488,21.306712,0,95
2700,-157.8098488,21.306712,0,95
2700,-157.8098489,21.3067121,0,95
2800,-157.8098489,21.3067121,0,95
2800,-157.8098489,21.3067121,0,95
2800,-157.8098489,21.3067121,0,95
2900,-157.8098489,21.3067121,0,95
2900,-157.8098489,21.3067121,0,95
3000,-157.8098492,21.3067122,0,95
3000,-157.8098492,21.3067122,0,95
3000,-157.8098492,21.3067122,0,95
3100,-157.8098492,21.3067122,0,95
3100,-157.8098492,21.3067122,0,95
3100,-157.8098492,21.3067122,0,95
3200,-157.8098494,21.3067124,0,95
3200,-157.8098494,21.3067124,0,95
3200,-157.8098494,21.3067124,0,95
3300,-157.8098494,21.30671239,0,95
3300,-157.8098494,21.30671239,0,95
3300,-157.8098495,21.30671249,0,95
3400,-157.8098495,21.30671249,0,95
3400,-157.8098495,21.30671249,0,95
3400,-157.8098495,21.30671249,0,95
3500,-157.8098495,21.30671249,0,95
3500,-157.8098495,21.30671249,0,95
3500,-157.8098495,21.30671249,0,95
3600,-157.8098495,21.30671251,0,95
3600,-157.8098495,21.30671251,0,95
3700,-157.8098495,21.30671251,0,95
3700,-157.8098495,21.30671251,0,95
3700,-157.8098495,21.30671251,0,95
3800,-157.8098497,21.30671271,0,95
3800,-157.8098497,21.30671271,0,95
3800,-157.8098497,21.30671271,0,95
3900,-157.8098497,21.30671271,0,95
3900,-157.8098497,21.30671272,0,95
3900,-157.8098498,21.30671292,0,95
4000,-157.8098498,21.30671292,0,95
4000,-157.8098498,21.30671292,0,95
4000,-157.8098498,21.30671292,0,95
4100,-157.8098498,21.30671292,0,95
4100,-157.8098498,21.30671292,0,95
4100,-157.8098499,21.30671302,0,95
4200,-157.8098499,21.30671301,0,95
4200,-157.8098499,21.30671301,0,95
4200,-157.8098499,21.30671301,0,95
4300,-157.8098499,21.30671301,0,95
4300,-157.8098499,21.30671302,0,95
4400,-157.8098501,21.30671322,0,95
4400,-157.8098501,21.30671322,0,95
4400,-157.8098501,21.30671322,0,95
4500,-157.8098501,21.30671322,0,95
4500,-157.8098501,21.30671321,0,95
4500,-157.8098501,21.30671321,0,95
4600,-157.8098502,21.30671332,0,95
4600,-157.8098502,21.30671332,0,95
4600,-157.8098502,21.30671332,0,95
4700,-157.8098502,21.30671332,0,95
4700,-157.8098502,21.30671332,0,95
4700,-157.8098503,21.30671352,0,95
4800,-157.8098503,21.30671353,0,95
4800,-157.8098503,21.30671352,0,95
4800,-157.8098503,21.30671352,0,95
4900,-157.8098503,21.30671352,0,95
4900,-157.8098503,21.30671352,0,95
4900,-157.8098505,21.30671372,0,95
5000,-157.8098505,21.30671372,0,95
5000,-157.8098505,21.30671372,0,95
5100,-157.8098505,21.30671372,0,95
5100,-157.8098505,21.30671372,0,95
5100,-157.8098505,21.30671371,0,95
5200,-157.8098508,21.30671401,0,95
5200,-157.8098508,21.30671401,0,95
5200,-157.8098508,21.30671402,0,95
5300,-157.8098508,21.30671402,0,95
5300,-157.8098508,21.30671402,0,95
5300,-157.8098509,21.30671422,0,95
5400,-157.8098509,21.30671422,0,95
5400,-157.8098509,21.30671422,0,95
5400,-157.8098509,21.3067142,0,95
5500,-157.8098509,21.30671421,0,95
5500,-157.8098509,21.30671421,0,95
5500,-157.8098511,21.30671441,0,95
5600,-157.8098511,21.30671441,0,95
5600,-157.8098511,21.30671441,0,95
5600,-157.8098511,21.30671442,0,95
5700,-157.8098511,21.30671441,0,95
5700,-157.8098511,21.30671441,0,95
5800,-157.8098511,21.30671441,0,95
5800,-157.8098511,21.30671441,0,95
5800,-157.8098511,21.30671441,0,95
5900,-157.8098511,21.30671441,0,95
5900,-157.8098511,21.30671442,0,95
5900,-157.8098511,21.30671442,0,95
6000,-157.8098512,21.30671462,0,95
6000,-157.8098512,21.30671462,0,94
6000,-157.8098512,21.30671463,0,94
6100,-157.8098512,21.30671463,0,94
6100,-157.8098512,21.30671463,0,94
6100,-157.8098514,21.30671473,0,94
6200,-157.8098514,21.30671473,0,94
6200,-157.8098514,21.30671473,0,94
6200,-157.8098514,21.30671473,0,94
6300,-157.8098514,21.30671474,0,94
6300,-157.8098514,21.30671474,0,94
6300,-157.8098515,21.30671489,0,94
6400,-157.8098515,21.30671489,0,94
6400,-157.8098515,21.30671489,0,94
6500,-157.8098515,21.30671489,0,94
6500,-157.8098515,21.30671489,0,94
6500,-157.8098515,21.3067149,0,94
6600,-157.8098515,21.306715,0,94
6600,-157.8098515,21.30671499,0,94
6600,-157.8098515,21.30671499,0,94
6700,-157.8098516,21.306715,0,94
6700,-157.8098516,21.306715,0,94
6700,-157.8098519,21.3067154,0,94
6800,-157.8098519,21.3067154,0,94
6800,-157.8098519,21.3067154,0,94
6800,-157.8098519,21.3067154,0,94
6900,-157.8098519,21.30671541,0,94
6900,-157.8098519,21.30671541,0,94
6900,-157.8098519,21.30671541,0,94
7000,-157.8098519,21.30671542,0,94
7000,-157.8098519,21.30671542,0,94
7000,-157.8098519,21.30671542,0,94
