Time (msec),Longitude,Latitude,Altagl,Battery Capacity (%)
4900,-157.8098467,21.30671294,0,92
5000,-157.8098466,21.30671357,0,91
5000,-157.8098471,21.30671281,0,91
5100,-157.809847,21.30671275,0,91
5100,-157.8098465,21.30671342,0,91
5100,-157.8098469,21.30671345,0,91
5200,-157.8098475,21.30671322,0,91
5200,-157.8098476,21.30671381,0,91
5200,-157.8098474,21.30671347,0,91
5300,-157.8098469,21.30671305,0,91
5300,-157.809847,21.30671334,0,91
5300,-157.8098469,21.30671402,0,91
5400,-157.809847,21.30671405,0,91
5400,-157.8098477,21.3067138,0,91
5400,-157.8098475,21.30671417,0,91
5500,-157.8098479,21.30671397,0,91
5500,-157.8098477,21.30671389,0,91
5500,-157.8098477,21.30671386,0,91
5600,-157.8098475,21.30671398,0,91
5600,-157.8098473,21.30671365,0,91
5600,-157.809848,21.3067139,0,91
5700,-157.8098478,21.30671366,0,91
5700,-157.8098478,21.30671383,0,91
5800,-157.8098477,21.30671347,0,91
5800,-157.8098472,21.30671389,0,91
5800,-157.8098478,21.30671416,0,91
5900,-157.8098475,21.30671405,0,91
5900,-157.8098478,21.30671437,0,91
5900,-157.8098479,21.3067143,0,91
6000,-157.8098475,21.30671382,0,91
6000,-157.8098476,21.30671375,0,91
6000,-157.8098472,21.30671385,0,91
6100,-157.8098479,21.30671409,0,91
6100,-157.8098475,21.30671444,0,91
6100,-157.8098478,21.30671418,0,91
6200,-157.8098478,21.30671431,0,91
6200,-157.809848,21.30671386,0,91
6200,-157.8098476,21.30671416,0,91
6300,-157.8098481,21.30671463,0,91
6300,-157.8098475,21.30671442,0,91
6300,-157.8098482,21.30671484,0,91
6400,-157.8098485,21.30671405,0,91
6400,-157.8098477,21.30671453,0,91
6500,-157.8098484,21.30671438,0,91
6500,-157.8098477,21.30671393,0,91
6500,-157.8098475,21.30671466,0,91
6600,-157.809848,21.3067149,0,91
6600,-157.8098484,21.30671455,0,91
6600,-157.8098476,21.30671406,0,91
6700,-157.8098477,21.30671464,0,91
6700,-157.809848,21.30671401,0,91
6700,-157.8098483,21.30671456,0,91
6800,-157.809848,21.3067154,0,91
6800,-157.8098479,21.30671498,0,91
6800,-157.8098488,21.30671505,0,91
6900,-157.8098488,21.30671458,0,91
6900,-157.8098488,21.3067147,0,91
6900,-157.8098487,21.30671489,0,91
7000,-157.8098486,21.30671484,0,91
7000,-157.8098488,21.30671523,0,91
7000,-157.8098486,21.30671503,0,91
7100,-157.8098486,21.30671451,0,91
7100,-157.8098479,21.3067146,0,91
7200,-157.8098491,21.3067155,0,91
7200,-157.8098482,21.3067149,0,91
7200,-157.8098481,21.30671513,0,91
7300,-157.8098486,21.30671483,0,91
7300,-157.809849,21.3067152,0,91
7300,-157.8098487,21.30671545,0,91
7400,-157.8098486,21.30671502,0,91
7400,-157.8098489,21.30671498,0,91
7400,-157.8098484,21.30671487,0,91
7500,-157.8098492,21.30671365,0,91
7500,-157.8098473,21.30671362,0,91
7500,-157.8098465,21.30671282,0,91
7600,-157.8098466,21.30671299,0,91
7600,-157.8098466,21.30671302,0,91
7600,-157.8098471,21.30671289,0,91
7700,-157.8098471,21.30671294,0,91
7700,-157.8098465,21.30671326,0,91
7700,-157.8098472,21.30671338,0,91
7800,-157.8098472,21.30671308,0,91
7800,-157.809847,21.30671326,0,91
7900,-157.8098473,21.30671401,0,91
7900,-157.8098471,21.30671309,0,91
7900,-157.8098473,21.3067134,0,91
8000,-157.8098477,21.30671349,0,91
8000,-157.8098469,21.30671358,0,91
8000,-157.8098469,21.30671351,0,91
8100,-157.8098476,21.30671413,0,91
8100,-157.8098475,21.30671344,0,91
8100,-157.8098478,21.30671441,0,91
8200,-157.8098481,21.30671362,0,91
8200,-157.8098476,21.30671445,0,91
8200,-157.8098477,21.30671446,0,91
8300,-157.8098475,21.30671443,0,91
8300,-157.8098476,21.30671423,0,91
8300,-157.8098482,21.30671401,0,91
8400,-157.8098479,21.30671451,0,91
8400,-157.809848,21.30671471,0,91
8400,-157.8098473,21.30671427,0,91
8500,-157.8098479,21.30671388,0,91
8500,-157.8098479,21.30671382,0,91
8600,-157.8098474,21.30671395,0,91
8600,-157.8098481,21.3067146,0,91
8600,-157.8098477,21.30671416,0,91
8700,-157.8098473,21.30671436,0,91
8700,-157.8098473,21.30671448,0,91
8700,-157.8098473,21.30671444,0,91
8800,-157.8098476,21.3067139,0,91
8800,-157.8098478,21.30671389,0,91
8800,-157.8098483,21.3067143,0,91
8900,-157.8098479,21.30671384,0,91
8900,-157.8098483,21.3067142,0,91
8900,-157.8098482,21.3067149,0,91
9000,-157.8098481,21.30671411,0,91
9000,-157.809848,21.30671463,0,91
9000,-157.8098478,21.30671483,0,91
9100,-157.8098484,21.30671456,0,91
9100,-157.809848,21.30671492,0,91
9100,-157.8098483,21.30671441,0,91
9200,-157.8098479,21.30671449,0,91
9200,-157.8098481,21.30671511,0,91
9300,-157.8098485,21.30671439,0,91
9300,-157.8098479,21.30671518,0,91
9300,-157.8098485,21.30671496,0,91
9400,-157.809848,21.30671511,0,91
9400,-157.8098484,21.30671464,0,91
9400,-157.8098486,21.30671455,0,91
9500,-157.8098487,21.30671488,0,91
9500,-157.8098483,21.30671454,0,91
9500,-157.8098488,21.30671541,0,91
9600,-157.8098484,21.30671539,0,91
9600,-157.8098481,21.30671485,0,91
9600,-157.8098483,21.30671459,0,91
9700,-157.8098487,21.30671457,0,91
9700,-157.8098489,21.30671463,0,91
9700,-157.8098484,21.30671551,0,91
9800,-157.8098487,21.30671481,0,91
9800,-157.8098488,21.30671543,0,91
9800,-157.8098482,21.30671534,0,91
9900,-157.8098485,21.30671492,0,91
9900,-157.8098492,21.30671497,0,91
10000,-157.8098494,21.30671535,0,91
10000,-157.8098489,21.30671499,0,91
10000,-157.8098486,21.30671515,0,91
10100,-157.8098486,21.30671529,0,91
10100,-157.8098494,21.30671583,0,91
10100,-157.8098494,21.30671589,0,91
10200,-157.8098486,21.30671592,0,91
10200,-157.8098494,21.30671591,0,91
10200,-157.8098492,21.30671587,0,91
10300,-157.8098487,21.30671515,0,91
10300,-157.8098487,21.30671539,0,91
10300,-157.8098492,21.30671546,0,91
10400,-157.8098485,21.3067154,0,91
10400,-157.8098487,21.30671597,0,91
10400,-157.8098485,21.3067154,0,91
10500,-157.8098489,21.3067157,0,91
10500,-157.8098491,21.30671606,0,91
10500,-157.8098489,21.30671552,0,91
10600,-157.8098491,21.30671621,0,91
10600,-157.8098494,21.30671569,0,91
10700,-157.8098488,21.30671587,0,91
10700,-157.8098493,21.30671606,0,91
10700,-157.8098492,21.30671538,0,91
10800,-157.8098496,21.30671559,0,91
10800,-157.8098489,21.3067154,0,91
10800,-157.8098492,21.30671616,0,91
10900,-157.8098491,21.30671548,0,91
10900,-157.8098487,21.30671589,0,91
10900,-157.8098491,21.30671609,0,91
11000,-157.8098492,21.30671738,0,91
11000,-157.8098492,21.30671738,0,91
11000,-157.8098493,21.30671738,0,91
11100,-157.8098524,21.30671738,0,91
11100,-157.8098524,21.30671738,0,91
11100,-157.8098524,21.30671738,0,91
11200,-157.8098524,21.30671738,0,91
11200,-157.8098524,21.30671738,0,91
11200,-157.8098524,21.30671738,0,91
11300,-157.8098524,21.30671738,0,91
11300,-157.8098524,21.30671738,0,91
11400,-157.8098524,21.30671738,0,91
11400,-157.8098524,21.30671738,0,91
11400,-157.8098524,21.30671738,0,91
11500,-157.8098524,21.30671738,0,91
11500,-157.8098524,21.30671738,0,91
11500,-157.8098524,21.30671738,0,91
11600,-157.8098524,21.30671738,0,91
11600,-157.8098524,21.30671738,0,91
11600,-157.8098524,21.30671738,0,91
11700,-157.8098524,21.30671738,0,91
11700,-157.8098524,21.30671738,0,91
11700,-157.8098524,21.30671738,0,91
11800,-157.8098524,21.30671738,0,91
11800,-157.8098524,21.30671738,0,91
11800,-157.8098524,21.30671738,0,91
11900,-157.8098524,21.30671738,0,91
11900,-157.8098524,21.30671738,0,91
11900,-157.8098524,21.30671738,0,91
12000,-157.8098524,21.30671738,0,91
12000,-157.8098524,21.30671738,0,91
12100,-157.8098524,21.30671738,0,91
12100,-157.8098524,21.30671738,0,91
12100,-157.8098524,21.30671738,0,91
12200,-157.8098524,21.30671738,0,91
12200,-157.8098524,21.30671738,0,91
12200,-157.8098524,21.30671738,0,91
12300,-157.8098524,21.30671738,0,91
12300,-157.8098524,21.30671738,0,91
12300,-157.8098524,21.30671738,0,91
12400,-157.8098524,21.30671738,0,91
12400,-157.8098524,21.30671738,0,91
12400,-157.8098524,21.30671738,0,91
12500,-157.8098524,21.30671738,0,91
12500,-157.8098524,21.30671738,0,91
12500,-157.8098524,21.30671738,0,91
12600,-157.8098524,21.30671738,0,91
12600,-157.8098524,21.30671738,0,91
12600,-157.8098524,21.30671738,0,91
12700,-157.8098524,21.30671738,0,91
12700,-157.8098524,21.30671738,0,91
12800,-157.8098524,21.30671738,0,91
12800,-157.8098524,21.30671738,0,91
12800,-157.8098524,21.30671738,0,91
12900,-157.8098524,21.30671738,0,91
12900,-157.8098524,21.30671738,0,91
12900,-157.8098524,21.30671738,0,91
13000,-157.8098524,21.30671738,0,91
13000,-157.8098524,21.30671738,0,91
13000,-157.8098524,21.30671738,0,91
13100,-157.8098524,21.30671738,0,91
13100,-157.8098524,21.30671738,0,91
13100,-157.8098524,21.30671738,0,91
13200,-157.8098524,21.30671738,0,91
13200,-157.8098524,21.30671738,0,91
13200,-157.8098524,21.30671738,0,91
13300,-157.8098524,21.30671738,0,91
13300,-157.8098524,21.30671738,0,91
13300,-157.8098524,21.30671738,0,91
13400,-157.8098524,21.30671738,0,91
13400,-157.8098524,21.30671738,0,91
13500,-157.8098524,21.30671738,0,91
13500,-157.8098524,21.30671738,0,91
13500,-157.8098524,21.30671738,0,91
13600,-157.8098524,21.30671738,0,91
13600,-157.8098524,21.30671738,0,91
13600,-157.8098524,21.30671738,0,91
13700,-157.8098524,21.30671738,0,91
13700,-157.8098524,21.30671738,0,91
13700,-157.8098524,21.30671738,0,91
13800,-157.8098524,21.30671738,0,91
13800,-157.8098524,21.30671738,0,91
13800,-157.8098524,21.30671738,0,91
13900,-157.8098524,21.30671738,0,91
13900,-157.8098524,21.30671738,0,91
13900,-157.8098524,21.30671738,0,91
14000,-157.8098524,21.30671738,0,95
14000,-157.8098524,21.30671738,0,95
14000,-157.8098524,21.30671738,0,95
14100,-157.8098524,21.30671738,0,95
14100,-157.8098524,21.30671738,0,95
14200,-157.8098524,21.30671738,0,95
14200,-157.8098524,21.30671738,0,95
14200,-157.8098524,21.30671738,0,95
14300,-157.8098524,21.30671738,0,95
14300,-157.8098524,21.30671738,0,95
14300,-157.8098524,21.30671738,0,95
14400,-157.8098524,21.30671738,0,95
14400,-157.8098524,21.30671738,0,95
14400,-157.8098524,21.30671738,0,95
14500,-157.8098524,21.30671738,0,95
14500,-157.8098524,21.30671738,0,95
14500,-157.8098524,21.30671738,0,95
14600,-157.8098524,21.30671738,0,95
14600,-157.8098524,21.30671738,0,95
14600,-157.8098524,21.30671738,0,95
14700,-157.8098524,21.30671738,0,95
14700,-157.8098524,21.30671738,0,95
14700,-157.8098524,21.30671738,0,95
14800,-157.8098524,21.30671738,0,95
14800,-157.8098524,21.30671738,0,95
14900,-157.8098524,21.30671738,0,95
14900,-157.8098524,21.30671738,0,95
14900,-157.8098524,21.30671738,0,95
15000,-157.8098524,21.30671738,0,84
15000,-157.8098524,21.30671738,0,84
15000,-157.8098524,21.30671738,0,84
15100,-157.8098524,21.30671738,0,84
15100,-157.8098524,21.30671738,0,84
15100,-157.8098524,21.30671738,0,84
15200,-157.8098524,21.30671738,0,84
15200,-157.8098524,21.30671738,0,84
15200,-157.8098524,21.30671738,0,84
15300,-157.8098524,21.30671738,0,84
15300,-157.8098524,21.30671738,0,84
15300,-157.8098524,21.30671738,0,84
15400,-157.8098524,21.30671738,0,84
15400,-157.8098524,21.30671738,0,84
15400,-157.8098524,21.30671738,0,84
15500,-157.8098524,21.30671738,0,84
15500,-157.8098524,21.30671738,0,84
15600,-157.8098524,21.30671738,0,84
15600,-157.8098524,21.30671738,0,84
15600,-157.8098524,21.30671738,0,84
15700,-157.8098524,21.30671738,0.1,84
15700,-157.8098524,21.30671738,0.1,84
15700,-157.8098524,21.30671738,0.1,84
15800,-157.8098524,21.30671738,0.1,84
15800,-157.8098524,21.30671738,0.1,84
15800,-157.8098524,21.30671738,0.1,84
15900,-157.8098524,21.30671738,0.1,84
15900,-157.8098524,21.30671738,0.1,84
15900,-157.8098524,21.30671738,0.1,84
16000,-157.8098524,21.30671738,0.2,81
16000,-157.8098524,21.30671738,0.2,81
16000,-157.8098524,21.30671738,0.2,81
16100,-157.8098524,21.30671738,0.2,81
16100,-157.8098524,21.30671738,0.2,81
16100,-157.8098524,21.30671738,0.2,81
16200,-157.8098524,21.30671738,0.3,81
16200,-157.8098524,21.30671738,0.3,81
16300,-157.8098524,21.30671738,0.3,81
16300,-157.8098524,21.30671738,0.3,81
16300,-157.8098524,21.30671738,0.4,81
16400,-157.8098524,21.30671738,0.4,81
16400,-157.8098524,21.30671738,0.4,81
16400,-157.8098524,21.30671738,0.4,81
16500,-157.8098524,21.30671738,0.5,81
16500,-157.8098524,21.30671738,0.5,81
16500,-157.8098524,21.30671738,0.5,81
16600,-157.8098524,21.30671738,0.5,81
16600,-157.8098524,21.30671738,0.5,81
16600,-157.8098524,21.30671738,0.5,81
16700,-157.8098524,21.30671738,0.6,81
16700,-157.8098524,21.30671738,0.6,81
16700,-157.8098524,21.30671738,0.6,81
16800,-157.8098524,21.30671738,0.6,81
16800,-157.8098524,21.30671738,0.6,81
16800,-157.8098524,21.30671738,0.7,81
16900,-157.8098524,21.30671738,0.7,81
16900,-157.8098524,21.30671738,0.7,81
17000,-157.8098524,21.30671738,0.7,76
17000,-157.8098524,21.30671738,0.7,76
17000,-157.8098524,21.30671738,0.8,76
17100,-157.8098524,21.30671738,0.8,76
17100,-157.8098524,21.30671738,0.9,76
17100,-157.8098524,21.30671738,0.9,76
17200,-157.8098524,21.30671738,0.9,76
17200,-157.8098524,21.30671738,0.9,76
17200,-157.8098524,21.30671738,0.9,76
